metro,price,minutes,way,provider,fee_percent,rooms,total_area,sector
Dubrovka,64000,7,1,0,50,2,42,Uznoportovi
Prospekt Vernadskogo,52500,13,1,1,0,2,67,Prospect Vernadskogo
Skhodnenskaia,39000,21,1,0,50,1,40,Uznoe Tushino
Petrovskii park,69000,11,1,0,40,1,64,Aeroport
Okskaia,38000,7,1,1,80,1,39,Ryazanski
Altufevo,60000,6,1,0,50,2,64,Bibirevo
Seligerskaia,38000,23,0,0,50,1,40,Beskudnikovski
Kolomenskaia,55000,20,1,0,0,2,67,Nagatino-Sadovniki
Sukharevskaia,150000,5,1,0,0,3,76,Krasnoselski
Aviamotornaia,45000,10,1,0,60,1,28,Lefortovo
Akademicheskaia,60000,8,1,0,50,1,42,Academicheskiy
Rasskazovka,45000,13,0,0,50,1,43,Vnukovskoe
Buninskaia Alleia,56500,8,1,1,0,2,67,Uznoe Butovo
Salarevo,62000,10,1,0,50,2,60,Solncevo
Mezhdunarodnaia,450000,6,1,0,0,3,67,Presnenski
Sokol,185000,13,1,1,0,2,3,Sokol
Domodedovskaia,110000,16,1,1,0,3,81,Orehovo-Borisovo Uzhnoe
Altufevo,110000,9,1,1,50,3,87,Bibirevo
Pervomaiskaia,56000,13,1,0,50,2,66,Izmailovo
Ulitca Skobelevskaia,50000,11,1,0,50,1,40,Uznoe Butovo
Okskaia,38000,13,1,1,25,1,8,Ryazanski
Shelepikha,100000,21,1,0,0,1,67,Presnenski
Krasnopresnenskaia,59000,8,1,0,50,1,33,Presnenski
Krylatskoe,47000,11,1,0,0,1,38,Krylatskoe
Kutuzovskaia,70000,6,1,0,50,3,75,Dorogomilovo
Alma-Atinskaia,50000,16,1,0,50,1,42,Brateevo
Kuzminki,49000,13,0,0,50,2,57,Kuzminki
Khovrino,67000,17,1,0,50,3,65,Hovrino
Otradnoe,62000,13,0,0,25,2,42,Otradnoe
Rasskazovka,55000,18,1,1,50,2,67,Vnukovskoe
Kaluzhskaia,50000,18,1,0,50,1,39,Obruchevski
Aeroport,160000,13,1,0,0,3,67,Aeroport
Petrovskii park,50000,11,1,0,0,1,37,Aeroport
Botanicheskii sad,70000,16,1,0,50,2,59,Sviblovo
Prokshino,35000,11,0,0,0,1,67,Sosenskoe
Kommunarka,49000,17,0,1,0,1,67,Sosenskoe
Medvedkovo,65000,37,0,0,50,2,58,Severnoe Medvedkovo
Ulitca 1905 goda,54500,11,1,1,0,1,67,Presnenski
Dostoevskaia,47000,12,1,0,0,1,36,Tverskoi
Belomorskaia,45000,9,1,0,50,2,67,Levoberegni
Tushinskaia,71000,12,1,1,0,1,67,Pokrovskoe-Streshnevo
Kaluzhskaia,50000,19,1,1,0,1,67,Obruchevski
Bratislavskaia,115000,7,1,0,0,3,76,Maruino
Smolenskaia,115000,13,1,0,35,1,54,Arbat
Delovoi tcentr,270000,8,1,0,0,2,67,Presnenski
Seligerskaia,40000,4,1,0,50,1,36,Beskudnikovski
Fili,70000,16,1,0,50,1,30,Filevskii Park
Kuntcevskaia,42000,10,1,0,50,1,48,Kuncevo
Universitet,70000,18,1,0,50,1,67,Ramenki
Novogireevo,40000,14,0,0,50,1,39,Novogireevo
Kolomenskaia,65000,18,0,0,50,1,39,Nagatino-Sadovniki
Sviblovo,36000,13,1,0,60,1,33,Sviblovo
Okskaia,90000,8,1,0,0,2,52,Ryazanski
Iugo-Zapadnaia,85000,13,1,0,50,2,73,Troparevo-Nikulino
Belorusskaia,62000,7,1,0,50,1,36,Tverskoi
Nekrasovka,60000,12,1,0,50,2,64,Nekrasovka
Strogino,50000,11,1,0,50,1,33,Strogino
TcSKA,85000,14,1,0,35,2,64,Horoshevski
Seligerskaia,45000,10,0,0,50,1,39,Beskudnikovski
Ulitca Akademika Iangelia,53000,15,1,0,50,2,47,Certanovo Uznoe
Shipilovskaia,60000,4,1,1,0,3,67,Zyablikovo
Sokolniki,85000,5,1,0,50,3,65,Sokolniki
Filatov Lug,27000,57,0,0,60,1,67,Sosenskoe
Mezhdunarodnaia,550000,7,1,0,0,3,67,Presnenski
Leninskii prospekt,87000,16,1,1,0,2,67,Donskoi
Universitet,52000,19,1,0,0,1,30,Ramenki
Vladykino,65000,11,1,0,0,1,33,Otradnoe
Mezhdunarodnaia,210000,2,1,0,0,2,67,Presnenski
Annino,40000,9,1,0,63,1,36,Certanovo Uznoe
Kutuzovskaia,150000,5,1,0,50,3,86,Dorogomilovo
Khovrino,52000,10,1,0,50,2,67,Hovrino
Strogino,49000,13,1,0,0,1,67,Strogino
Vodnyi stadion,42000,16,0,0,50,1,38,Golovinski
Butyrskaia,65000,21,1,0,50,2,45,Butirski
Medvedkovo,45000,14,1,0,50,1,39,Severnoe Medvedkovo
Fili,70000,17,1,0,50,2,53,Filevskii Park
Sokolniki,55000,11,1,0,50,1,40,Sokolniki
Mezhdunarodnaia,490000,2,1,0,0,3,67,Presnenski
Vykhino,36000,12,0,0,50,1,42,Vihino-Julebino
Iugo-Vostochnaia,33000,20,1,1,30,1,37,Vihino-Julebino
Narodnoe Opolchenie,65000,11,1,0,50,2,52,Horoshevo-Mnevniki
Dmitrovskaia,50000,9,1,0,50,1,38,Butirski
Pionerskaia,90000,7,1,0,50,2,57,Fili-Davidkovo
Okskaia,49000,15,1,0,50,1,40,Ryazanski
Belomorskaia,45000,3,1,0,50,1,67,Levoberegni
Shchukinskaia,65000,5,1,1,50,3,63,Shukino
Lefortovo,58000,4,1,1,50,1,37,Lefortovo
Babushkinskaia,60000,21,1,1,50,2,70,Babuskinski
Salarevo,33000,26,0,1,50,1,37,Solncevo
Ulitca Skobelevskaia,34000,14,1,1,60,1,40,Uznoe Butovo
Cherkizovskaia,60000,10,1,1,50,3,65,Preobrazhenskoe
Sukharevskaia,58000,11,1,1,50,2,43,Krasnoselski
Teatralnaia,200000,10,1,1,0,4,135,Tverskoi
Teatralnaia,200000,10,1,1,0,3,135,Tverskoi
Belomorskaia,65000,11,1,1,50,2,70,Levoberegni
Tverskaia,195000,7,1,1,0,2,70,Tverskoi
Universitet,250000,8,1,1,0,3,140,Ramenki
Prospekt Mira,70000,9,1,0,50,2,40,Meshanski
Tcvetnoi bulvar,400000,4,1,1,0,4,201,Tverskoi
Tcvetnoi bulvar,350000,4,1,1,0,4,165,Tverskoi
Tcvetnoi bulvar,300000,4,1,1,0,4,159,Tverskoi
Vodnyi stadion,55000,14,1,0,0,1,67,Golovinski
Prospekt Vernadskogo,51000,4,0,0,50,1,38,Prospect Vernadskogo
Sviblovo,55000,20,1,0,50,1,40,Sviblovo
Mezhdunarodnaia,300000,7,1,0,0,2,67,Presnenski
Ramenki,70000,12,1,0,70,2,54,Ramenki
Kuzminki,90000,19,1,0,50,4,67,Kuzminki
Ulitca Gorchakova,41000,10,1,0,50,1,36,Uznoe Butovo
Narodnoe Opolchenie,90000,16,1,0,50,1,40,Horoshevo-Mnevniki
Govorovo,55000,10,1,0,50,1,67,Solncevo
Botanicheskii sad,65000,6,1,0,50,1,35,Sviblovo
Fili,70000,6,1,0,50,2,43,Filevskii Park
Nekrasovka,45000,12,1,0,50,2,54,Nekrasovka
Bulvar Admirala Ushakova,40000,14,0,0,50,1,35,Uznoe Butovo
Buninskaia Alleia,49000,9,0,1,0,2,67,Uznoe Butovo
Salarevo,60000,15,1,0,100,3,67,Solncevo
Petrovskii park,35000,20,0,0,50,1,45,Aeroport
Shelepikha,105000,19,1,0,50,2,65,Presnenski
Barrikadnaia,110000,4,1,0,50,2,53,Presnenski
Novokuznetckaia,70000,7,1,0,40,2,50,Zamoskvoreche
Kakhovskaia,61000,8,1,0,50,2,61,Zuzino
Rimskaia,70000,16,1,0,50,1,67,Taganski
Timiriazevskaia,50000,9,1,0,60,2,67,Timiryazevski
Medvedkovo,40000,19,1,0,50,1,36,Severnoe Medvedkovo
Bulvar Admirala Ushakova,54500,14,0,1,0,1,67,Uznoe Butovo
Maiakovskaia,65000,11,1,0,50,1,50,Tverskoi
Trubnaia,100000,7,1,0,0,2,50,Meshanski
Profsoiuznaia,70000,7,1,0,0,3,65,Academicheskiy
Kuzminki,50000,9,1,0,0,2,32,Kuzminki
Tcaritcyno,50000,14,0,0,50,1,45,Tcaritcyno
Ulitca Akademika Iangelia,45000,19,1,0,0,1,67,Certanovo Uznoe
Salarevo,50000,12,1,0,50,2,53,Solncevo
Rumiantcevo,35000,19,0,0,50,1,67,Moskovski
Tcvetnoi bulvar,60000,8,1,0,50,1,33,Tverskoi
Krylatskoe,55000,12,1,0,50,1,35,Krylatskoe
Davydkovo,55000,19,1,0,50,2,42,Mojaiski
Bratislavskaia,59000,20,1,0,50,2,58,Maruino
Krylatskoe,47000,11,1,0,0,1,38,Krylatskoe
Bibirevo,45000,11,1,0,50,2,47,Bibirevo
Fili,70000,16,1,0,50,1,67,Filevskii Park
Park kultury,450000,7,1,1,0,4,170,Hamovniki
Mezhdunarodnaia,2617048,6,1,1,0,3,67,Presnenski
Barrikadnaia,350000,11,1,1,0,4,67,Presnenski
Kropotkinskaia,270000,8,1,1,0,3,67,Hamovniki
Sokol,400000,13,1,1,0,3,170,Sokol
Olkhovaia,52000,33,0,1,0,2,71,Sosenskoe
Olkhovaia,55000,33,0,1,0,2,71,Sosenskoe
Park kultury,450000,5,1,1,0,3,67,Hamovniki
Ulitca 1905 goda,350000,18,1,1,0,5,67,Presnenski
Oktiabrskoe pole,65000,5,1,0,0,2,67,Shukino
Nagornaia,45000,8,1,0,50,1,67,Nagorni
Ulitca Skobelevskaia,42000,4,1,0,60,2,67,Uznoe Butovo
Proletarskaia,50000,14,1,0,50,2,38,Taganski
Partizanskaia,43000,4,1,1,100,1,67,Izmailovo
Babushkinskaia,60000,5,1,1,50,2,67,Babuskinski
Ramenki,180000,15,1,0,0,3,67,Ramenki
Krasnogvardeiskaia,39000,10,1,0,50,2,67,Zyablikovo
Ramenki,180000,15,1,0,0,3,67,Ramenki
Narodnoe Opolchenie,48000,22,1,0,50,2,50,Horoshevo-Mnevniki
Mezhdunarodnaia,350000,6,1,0,0,2,67,Presnenski
Borovskoe shosse,27000,7,1,0,100,1,67,Novo-Peredelkino
Davydkovo,65000,8,1,0,50,3,55,Mojaiski
Otradnoe,49000,14,1,0,0,2,51,Otradnoe
Beliaevo,50000,11,1,0,0,2,50,Konkovo
Nakhimovskii prospekt,50000,14,1,0,60,2,67,Zuzino
Tushinskaia,55000,15,0,0,50,2,67,Pokrovskoe-Streshnevo
Tretiakovskaia,65000,11,1,0,0,1,40,Zamoskvoreche
Novoperedelkino,55000,35,0,0,30,3,61,Novo-Peredelkino
Rumiantcevo,38000,17,1,0,50,1,67,Moskovski
Timiriazevskaia,50000,4,1,1,50,2,45,Timiryazevski
Sukharevskaia,65000,7,1,0,50,1,38,Krasnoselski
Olkhovaia,40000,33,0,0,0,2,2,Sosenskoe
Smolenskaia,100000,6,1,0,0,2,67,Arbat
Seligerskaia,62000,10,1,0,50,1,35,Beskudnikovski
Pervomaiskaia,33000,7,1,0,0,1,67,Izmailovo
Altufevo,50000,14,1,0,50,1,67,Bibirevo
VDNKh,54000,20,1,0,50,3,56,Ostankinski
Otradnoe,60000,14,1,1,0,3,67,Otradnoe
Riazanskii prospekt,45000,7,1,0,0,1,67,Ryazanski
Sokol,45000,13,1,0,50,2,47,Sokol
Ulitca 1905 goda,110000,13,1,0,50,1,43,Presnenski
VDNKh,45000,5,1,0,50,1,67,Ostankinski
Kurskaia,95000,7,1,0,0,3,90,Basmanski
Dostoevskaia,70000,13,1,0,70,2,65,Tverskoi
Filatov Lug,30000,52,0,1,80,2,67,Sosenskoe
Bulvar Rokossovskogo,55000,11,0,0,50,1,35,Bogorodskoe
Govorovo,65000,6,1,0,50,2,55,Solncevo
Ulitca Starokachalovskaia,45000,12,1,0,0,1,67,Severnoe Butovo
Sokol,55000,5,1,0,50,1,35,Sokol
Kuzminki,70000,5,1,0,50,2,70,Kuzminki
Park Pobedy,70000,7,1,0,50,2,67,Dorogomilovo
Sokol,55000,10,1,0,0,1,67,Sokol
Iugo-Zapadnaia,90000,17,1,0,0,3,107,Troparevo-Nikulino
Pervomaiskaia,30000,18,0,0,50,1,67,Izmailovo
Rasskazovka,22000,17,0,0,0,1,67,Vnukovskoe
Ulitca Gorchakova,52000,10,1,0,0,2,67,Uznoe Butovo
Narodnoe Opolchenie,72000,18,1,0,50,1,67,Horoshevo-Mnevniki
Dinamo,95000,10,1,0,50,2,45,Aeroport
Mitino,68400,11,1,0,0,1,67,Mitino
Annino,55000,7,1,0,50,2,54,Certanovo Uznoe
Kievskaia,65000,7,1,0,50,1,33,Dorogomilovo
Belomorskaia,65000,13,0,0,50,3,79,Levoberegni
Rasskazovka,45000,14,0,0,50,2,53,Vnukovskoe
Prospekt Mira,390000,6,1,0,0,5,216,Meshanski
Prokshino,50000,12,0,0,0,2,54,Sosenskoe
Verkhnie Likhobory,50000,3,1,0,50,1,44,Beskudnikovski
Pervomaiskaia,71000,8,1,1,0,3,67,Izmailovo
VDNKh,70000,18,1,0,50,2,59,Ostankinski
Ulitca Akademika Iangelia,60000,15,1,0,50,2,45,Certanovo Uznoe
Kommunarka,70000,17,0,0,0,3,86,Sosenskoe
Belorusskaia,110000,9,1,0,50,2,55,Tverskoi
Shelepikha,98000,10,1,0,50,3,76,Presnenski
Aviamotornaia,85000,10,1,0,50,2,46,Lefortovo
Buninskaia Alleia,40000,16,0,0,50,1,37,Uznoe Butovo
Buninskaia Alleia,60000,19,0,0,10,2,52,Uznoe Butovo
Avtozavodskaia,100000,7,1,0,50,2,67,Danilovski
Fili,85000,21,1,0,50,1,43,Filevskii Park
Mezhdunarodnaia,250000,3,1,0,0,2,67,Presnenski
Medvedkovo,50000,10,0,0,50,1,42,Severnoe Medvedkovo
Marina Roshcha,47000,10,1,0,70,2,50,Maruina Rocha
Sportivnaia,350000,9,1,0,20,2,96,Hamovniki
Okruzhnaia,55000,11,1,0,0,1,67,Timiryazevski
Novogireevo,51000,14,0,1,30,3,5,Novogireevo
Olkhovaia,36500,32,0,1,0,1,67,Sosenskoe
Belomorskaia,39000,15,1,0,50,1,40,Levoberegni
Shipilovskaia,40000,7,1,0,50,2,43,Zyablikovo
Oktiabrskoe pole,60000,11,1,0,100,2,57,Shukino
Stakhanovskaia,69000,5,1,0,50,2,65,Ryazanski
Rizhskaia,50000,8,1,0,0,1,36,Meshanski
Rimskaia,70000,12,1,0,50,1,40,Taganski
Domodedovskaia,47000,16,1,0,50,1,40,Orehovo-Borisovo Uzhnoe
Avtozavodskaia,63000,6,1,0,50,2,56,Danilovski
Mezhdunarodnaia,370000,6,1,0,0,3,67,Presnenski
Ramenki,87000,9,1,0,50,2,74,Ramenki
Tekstilshchiki,32280,9,1,1,0,1,67,Tekstilshchiki
Prokshino,15000,10,0,0,0,1,67,Sosenskoe
Paveletckaia,87000,15,1,1,0,1,67,Zamoskvoreche
Tekhnopark,55000,9,1,0,80,1,67,Nagatino-Sadovniki
Michurinskii prospekt,95000,19,1,0,50,2,55,Ramenki
Vykhino,36500,11,1,1,0,1,67,Vihino-Julebino
Profsoiuznaia,50000,11,1,0,50,1,38,Academicheskiy
Rasskazovka,59000,14,0,0,50,2,65,Vnukovskoe
Skhodnenskaia,62000,14,1,1,0,2,67,Uznoe Tushino
Park kultury,400000,10,1,0,0,3,132,Hamovniki
Sokolniki,45000,14,1,1,50,1,40,Sokolniki
Ramenki,55000,9,1,0,50,2,54,Ramenki
Chertanovskaia,50000,12,1,0,50,1,50,Certanovo Severnoe
Dmitrovskaia,70000,3,1,0,0,1,67,Butirski
Universitet,68500,17,1,1,0,2,67,Ramenki
Babushkinskaia,72000,13,0,1,0,3,67,Babuskinski
Sviblovo,48000,14,1,0,50,1,38,Sviblovo
Olkhovaia,35000,27,0,0,0,1,5,Sosenskoe
Salarevo,60000,12,1,0,50,2,45,Solncevo
Riazanskii prospekt,35000,10,1,0,50,1,5,Ryazanski
Sviblovo,36850,12,1,1,0,1,67,Sviblovo
Botanicheskii sad,50000,19,1,0,0,2,57,Sviblovo
Salarevo,48000,8,0,0,50,1,40,Solncevo
Belomorskaia,42000,10,1,0,50,1,45,Levoberegni
Paveletckaia,64000,4,1,0,0,1,67,Zamoskvoreche
Preobrazhenskaia ploshchad,60000,7,1,0,50,1,67,Preobrazhenskoe
Profsoiuznaia,62949,17,1,1,0,3,67,Academicheskiy
Sviblovo,49000,9,1,0,0,1,39,Sviblovo
Marino,40500,10,1,1,0,2,67,Maruino
Dmitrovskaia,65000,15,1,0,50,1,67,Butirski
Fonvizinskaia,60000,15,1,0,50,1,38,Butirski
Bulvar Rokossovskogo,38000,8,1,0,0,2,45,Bogorodskoe
Pechatniki,50000,8,1,0,50,1,48,Pechatniki
Vodnyi stadion,55000,17,0,0,50,2,54,Golovinski
Filatov Lug,33000,15,0,0,50,1,40,Sosenskoe
Preobrazhenskaia ploshchad,60000,4,1,0,0,1,67,Preobrazhenskoe
Seligerskaia,65000,10,0,0,50,1,40,Beskudnikovski
Rasskazovka,45000,18,1,1,20,1,40,Vnukovskoe
Stakhanovskaia,60000,9,1,0,0,2,67,Ryazanski
Okskaia,60000,7,1,0,50,2,55,Ryazanski
Dinamo,95000,8,1,0,50,1,40,Aeroport
Aeroport,85000,9,1,0,50,1,67,Aeroport
Shchukinskaia,55000,11,1,0,50,2,67,Shukino
Babushkinskaia,42000,17,1,0,50,1,43,Babuskinski
Arbatskaia,115000,10,1,1,0,1,67,Arbat
Medvedkovo,43000,20,0,0,50,2,52,Severnoe Medvedkovo
Prospekt Vernadskogo,50000,7,1,0,0,1,67,Prospect Vernadskogo
Kurskaia,85000,13,1,0,50,1,67,Basmanski
Shelepikha,190000,5,1,0,60,3,67,Presnenski
VDNKh,97500,9,0,1,0,2,67,Ostankinski
Rizhskaia,54000,9,1,0,50,2,67,Meshanski
Botanicheskii sad,40000,13,1,0,0,1,67,Sviblovo
Baumanskaia,70000,8,1,0,50,1,67,Basmanski
Bratislavskaia,45000,16,0,0,0,1,67,Maruino
Okruzhnaia,49000,11,1,0,50,1,67,Timiryazevski
Filatov Lug,65000,7,1,0,0,2,60,Sosenskoe
Marina Roshcha,50000,10,1,0,50,1,36,Maruina Rocha
Slavianskii bulvar,85000,8,1,0,0,2,67,Fili-Davidkovo
Skhodnenskaia,54500,14,1,1,0,1,67,Uznoe Tushino
Chekhovskaia,45000,4,1,0,50,1,19,Tverskoi
Trubnaia,340000,3,1,1,0,3,67,Meshanski
Rizhskaia,68000,8,1,0,0,1,38,Meshanski
Dinamo,95000,8,1,0,50,1,38,Aeroport
Nekrasovka,35000,9,1,1,71,1,50,Nekrasovka
Nekrasovka,38000,13,1,1,79,1,67,Nekrasovka
Olkhovaia,32000,25,0,0,50,1,39,Sosenskoe
Mezhdunarodnaia,250000,3,1,0,0,2,67,Presnenski
Planernaia,45000,16,1,0,50,1,39,Severnoe Tushino
Bratislavskaia,55000,14,1,0,50,1,38,Maruino
Bratislavskaia,50000,5,1,0,0,2,63,Maruino
Sviblovo,70000,11,1,0,50,3,85,Sviblovo
Aeroport,46999,5,1,0,0,1,67,Aeroport
Beliaevo,60000,12,1,0,50,2,40,Konkovo
Ramenki,200000,11,1,0,0,3,67,Ramenki
Preobrazhenskaia ploshchad,53000,6,1,0,50,1,55,Preobrazhenskoe
Liublino,35000,17,0,0,50,1,38,Lublino
Olkhovaia,35000,25,0,0,60,1,67,Sosenskoe
Novoslobodskaia,332500,8,1,1,0,2,67,Tverskoi
Otradnoe,45000,20,1,0,0,1,67,Otradnoe
Mezhdunarodnaia,230000,2,1,1,0,2,8,Presnenski
Ramenki,150000,5,1,1,0,3,5,Ramenki
Beliaevo,56000,4,1,0,0,1,39,Konkovo
Narodnoe Opolchenie,59000,17,1,0,40,3,67,Horoshevo-Mnevniki
Turgenevskaia,100000,6,1,1,0,1,67,Krasnoselski
Komsomolskaia,55000,4,1,0,50,1,36,Krasnoselski
Profsoiuznaia,50000,11,1,1,20,1,36,Academicheskiy
Narodnoe Opolchenie,70000,12,1,0,50,3,73,Horoshevo-Mnevniki
Timiriazevskaia,38000,11,1,0,60,1,67,Timiryazevski
Kakhovskaia,50000,8,1,1,20,1,45,Zuzino
Alma-Atinskaia,65000,5,1,0,50,2,67,Brateevo
Tekstilshchiki,32280,9,1,1,0,1,67,Tekstilshchiki
Kakhovskaia,50000,5,1,0,50,1,40,Zuzino
Seligerskaia,36000,22,1,0,50,1,38,Beskudnikovski
Okskaia,46000,11,1,0,60,2,67,Ryazanski
Dmitrovskaia,55000,10,1,0,50,1,36,Butirski
Fili,65000,16,1,0,50,1,50,Filevskii Park
Bagrationovskaia,50000,13,1,0,50,1,39,Filevskii Park
Novogireevo,33000,13,0,0,60,1,67,Novogireevo
Sviblovo,44000,9,0,0,0,1,42,Sviblovo
Botanicheskii sad,160000,16,1,0,0,2,75,Sviblovo
Okhotnyi riad,65000,2,1,0,50,1,67,Tverskoi
Preobrazhenskaia ploshchad,45000,16,1,0,0,1,67,Preobrazhenskoe
Iasenevo,50000,14,1,0,50,2,45,Yasenevo
Petrovskii park,50000,11,1,0,50,1,38,Aeroport
Riazanskii prospekt,58000,7,1,0,50,2,40,Ryazanski
Kashirskaia,50000,14,1,0,50,1,42,Moskvoreche-Saburovo
Belorusskaia,55000,6,1,0,50,1,36,Tverskoi
Olkhovaia,41000,15,0,1,50,2,39,Sosenskoe
Olkhovaia,52000,16,1,0,0,2,67,Sosenskoe
Piatnitckoe shosse,42000,13,1,0,50,2,67,Mitino
Iugo-Zapadnaia,68000,3,0,0,0,2,75,Troparevo-Nikulino
Sokol,60000,6,1,0,50,2,44,Sokol
Tcaritcyno,45000,16,0,0,50,1,40,Tcaritcyno
Nagornaia,50000,19,1,0,50,2,56,Nagorni
Varshavskaia,65000,7,1,0,50,2,56,Moskvoreche-Saburovo
Mezhdunarodnaia,240000,2,1,0,0,2,67,Presnenski
Mezhdunarodnaia,200000,5,1,0,0,1,67,Presnenski
Kievskaia,60000,8,1,0,50,1,42,Dorogomilovo
Fili,63000,17,1,0,50,1,44,Filevskii Park
Babushkinskaia,50000,15,1,0,50,1,38,Babuskinski
Nekrasovka,33000,13,1,0,50,1,67,Nekrasovka
Ulitca Gorchakova,40000,5,1,0,0,1,42,Uznoe Butovo
Salarevo,60000,26,0,1,0,2,67,Solncevo
Lomonosovskii prospekt,185000,20,1,1,0,3,67,Ramenki
Mendeleevskaia,85000,6,1,0,50,2,55,Tverskoi
Mezhdunarodnaia,250000,2,1,0,0,2,67,Presnenski
Piatnitckoe shosse,48000,10,0,0,50,2,60,Mitino
Ozernaia,50000,20,1,0,50,1,34,Ochakovo-Matveevskoe
Iuzhnaia,34000,15,1,0,50,1,34,Certanovo Centralnoe
Filatov Lug,35000,19,0,1,0,1,67,Sosenskoe
Bagrationovskaia,50000,12,1,0,50,1,33,Filevskii Park
Paveletckaia,150000,15,1,0,60,2,67,Zamoskvoreche
Piatnitckoe shosse,55000,10,1,0,50,2,55,Mitino
Piatnitckoe shosse,45000,11,0,0,50,1,40,Mitino
Olkhovaia,65000,9,0,0,50,2,69,Sosenskoe
Konkovo,49000,6,1,1,0,1,67,Teplui Stan
Rasskazovka,65000,12,0,0,50,2,56,Vnukovskoe
Govorovo,47000,9,1,0,50,1,46,Solncevo
Park Pobedy,70000,7,1,0,0,2,65,Dorogomilovo
Smolenskaia,90000,10,1,0,50,3,82,Arbat
Beliaevo,85000,18,1,0,50,2,68,Konkovo
Govorovo,40000,10,1,0,0,1,67,Solncevo
Kuzminki,60000,10,1,0,0,2,67,Kuzminki
Rasskazovka,58000,6,1,0,50,2,49,Vnukovskoe
Pionerskaia,50000,7,1,0,0,2,48,Fili-Davidkovo
Rechnoi vokzal,55000,10,1,0,50,1,40,Levoberegni
Prospekt Mira,220000,10,1,0,50,1,67,Meshanski
Mezhdunarodnaia,230000,2,1,0,0,2,67,Presnenski
Belorusskaia,162500,12,1,1,0,2,67,Tverskoi
Michurinskii prospekt,100000,12,1,0,50,2,70,Ramenki
Okskaia,65000,7,1,0,50,2,59,Ryazanski
Pervomaiskaia,48000,9,1,0,55,2,48,Izmailovo
Iugo-Vostochnaia,33000,10,1,1,0,1,67,Vihino-Julebino
Strogino,40000,20,1,0,80,1,8,Strogino
Prazhskaia,70000,5,1,0,50,3,67,Certanovo Centralnoe
Domodedovskaia,45000,17,1,1,0,1,67,Orehovo-Borisovo Uzhnoe
Dinamo,56000,18,1,0,70,1,36,Aeroport
Mezhdunarodnaia,350000,2,1,0,0,2,92,Presnenski
Profsoiuznaia,50000,8,1,0,0,2,3,Academicheskiy
Lukhmanovskaia,38000,11,0,0,50,1,67,Kosino-Uhtomski
Ulitca Akademika Iangelia,55000,4,1,0,50,1,46,Certanovo Uznoe
Michurinskii prospekt,110000,18,1,0,50,3,67,Ramenki
Krestianskaia zastava,45000,15,1,0,50,1,40,Taganski
Minskaia,45000,20,0,0,50,1,42,Dorogomilovo
Botanicheskii sad,55000,13,1,0,0,1,67,Sviblovo
Akademicheskaia,65000,5,1,0,30,3,85,Academicheskiy
Olkhovaia,26000,32,0,0,50,1,67,Sosenskoe
Begovaia,105000,6,1,0,0,2,67,Presnenski
Lefortovo,60000,1,1,0,50,1,40,Lefortovo
Dmitrovskaia,55500,3,1,1,0,1,67,Butirski
Mezhdunarodnaia,350000,2,1,1,0,2,67,Presnenski
Mezhdunarodnaia,335000,2,1,1,0,2,67,Presnenski
Mezhdunarodnaia,370000,5,1,0,0,3,67,Presnenski
Otradnoe,44000,8,1,1,0,1,67,Otradnoe
Novokuznetckaia,215000,15,1,0,0,2,67,Zamoskvoreche
Prospekt Mira,52000,1,1,0,50,1,40,Meshanski
Mezhdunarodnaia,280000,7,1,0,0,2,67,Presnenski
Alma-Atinskaia,32510,6,1,1,0,1,67,Brateevo
Prospekt Vernadskogo,110000,18,1,1,0,3,96,Prospect Vernadskogo
Filatov Lug,28000,35,0,1,0,1,67,Sosenskoe
Prospekt Vernadskogo,49000,7,1,0,70,1,67,Prospect Vernadskogo
Smolenskaia,70000,8,1,0,0,1,67,Arbat
Sevastopolskaia,47000,11,1,0,50,1,44,Zuzino
TcSKA,95000,15,1,0,0,3,67,Horoshevski
Vladykino,45000,12,1,0,0,1,67,Otradnoe
Skhodnenskaia,37000,5,1,0,55,2,46,Uznoe Tushino
Nekrasovka,60000,20,1,0,50,2,64,Nekrasovka
Kitai-gorod,59000,16,1,0,50,1,39,Tverskoi
Rechnoi vokzal,55000,19,1,0,50,1,42,Levoberegni
Otradnoe,55000,14,0,0,50,2,60,Otradnoe
Bibirevo,60000,6,1,0,50,3,67,Bibirevo
Kolomenskaia,65000,19,0,1,0,1,67,Nagatino-Sadovniki
Izmailovskaia,50000,8,1,0,50,2,45,Sokolinaya Gora
Nekrasovka,50000,7,1,0,50,2,59,Nekrasovka
Okruzhnaia,57000,9,1,0,50,1,37,Timiryazevski
Otradnoe,40000,18,1,0,50,1,36,Otradnoe
Okskaia,40000,9,1,0,50,1,33,Ryazanski
Bulvar Rokossovskogo,65000,7,1,0,50,1,36,Bogorodskoe
Narodnoe Opolchenie,55000,19,1,0,50,1,35,Horoshevo-Mnevniki
Domodedovskaia,32000,20,1,0,60,1,32,Orehovo-Borisovo Uzhnoe
Fili,70000,16,1,0,50,1,67,Filevskii Park
Vykhino,35000,20,1,0,50,1,67,Vihino-Julebino
Riazanskii prospekt,40000,15,1,0,50,1,33,Ryazanski
Nekrasovka,29000,23,0,0,0,1,38,Nekrasovka
Kuzminki,55000,13,1,0,0,1,67,Kuzminki
Novoperedelkino,55000,18,1,0,50,2,53,Novo-Peredelkino
Kolomenskaia,60000,17,1,0,50,2,75,Nagatino-Sadovniki
Piatnitckoe shosse,55000,4,1,0,50,2,53,Mitino
